,id,label,length,group
216,NZ_CP052124.1,Bacteria,3703014,test
217,NZ_CP025509.1,Bacteria,4760731,test
218,NZ_CP019114.1,Bacteria,3927258,test
219,NZ_CP054049.1,Bacteria,4846082,test
220,NZ_CP053417.1,Bacteria,4476215,test
221,NZ_CP044039.1,Bacteria,5266224,test
222,NZ_CP025388.1,Bacteria,4110608,test
223,NZ_CP041961.1,Bacteria,5128239,test
224,NZ_CP035917.1,Bacteria,4979135,test
225,NZ_CP040309.1,Bacteria,5401709,test
226,NZ_CP035923.1,Bacteria,4901034,test
227,NZ_CP012211.1,Bacteria,1634294,test
228,NZ_CP034695.1,Bacteria,2132063,test
229,NZ_CP039776.1,Bacteria,816304,test
230,NZ_CP053799.1,Bacteria,1086276,test
231,NZ_CP038020.1,Bacteria,2102268,test
232,NZ_CP048051.1,Bacteria,6861331,test
233,NZ_CP039268.1,Bacteria,2958290,test
234,NZ_CP031097.1,Bacteria,3922194,test
235,NZ_CP038874.1,Bacteria,2243763,test
236,NZ_CP035716.1,Bacteria,2337602,test
237,NZ_CP040368.1,Bacteria,2805984,test
238,NZ_CP032228.1,Bacteria,3229668,test
239,NZ_CP028807.1,Bacteria,3618903,test
240,NZ_CP055142.1,Bacteria,680851,test
241,NZ_CP033756.1,Bacteria,5305851,test
242,NZ_CP033735.1,Bacteria,2666426,test
243,NZ_CP043816.1,Bacteria,2218831,test
244,NZ_CP033396.2,Bacteria,5448219,test
245,NZ_CP051714.1,Bacteria,4911026,test
246,NZ_CP040182.1,Bacteria,5747416,test
247,NZ_CP042941.1,Bacteria,4315318,test
248,NZ_CP041927.1,Bacteria,5253969,test
249,NZ_CP029896.1,Bacteria,4781801,test
250,NZ_CP038405.1,Bacteria,5459302,test
251,NZ_CP045086.1,Bacteria,2618293,test
252,NZ_CP043478.1,Bacteria,5074423,test
253,NZ_CP042993.1,Bacteria,2183545,test
254,NZ_CP030217.1,Bacteria,4716530,test
255,NZ_CP028142.1,Bacteria,1818040,test
256,NZ_CP046338.1,Bacteria,702621,test
257,NZ_CP022319.2,Bacteria,3812575,test
258,NZ_CP015029.1,Bacteria,2136304,test
259,NZ_CP035692.1,Bacteria,2220613,test
260,NZ_CP035110.1,Bacteria,2042320,test
261,NZ_CP027737.1,Bacteria,6913645,test
262,NZ_CP039729.1,Bacteria,2736723,test
263,NZ_CP038441.1,Bacteria,4917765,test
264,NZ_CP052088.1,Bacteria,3854510,test
265,NZ_CP041738.1,Bacteria,3152103,test
266,NZ_CP029897.1,Bacteria,4897593,test
267,NZ_CP028703.1,Bacteria,4614635,test
268,NZ_CP015567.1,Bacteria,2462567,test
269,NZ_CP035457.1,Bacteria,3125062,test
270,NZ_CP034173.1,Bacteria,2538787,test
271,NZ_CP029938.1,Bacteria,4784615,test
272,NZ_CP041295.1,Bacteria,2925873,test
273,NZ_CP050322.1,Bacteria,6546693,test
274,NZ_CP029923.1,Bacteria,4782756,test
275,NZ_CP034553.1,Bacteria,3781435,test
276,NZ_CP032506.1,Bacteria,3929799,test
277,NZ_CP027533.1,Bacteria,5309542,test
278,NZ_CP032927.1,Bacteria,2081870,test
279,NZ_CP050242.1,Bacteria,3803872,test
280,NZ_CP032865.1,Bacteria,4122184,test
281,NZ_CP038868.1,Bacteria,1728473,test
282,NZ_CP041010.1,Bacteria,2964112,test
283,NZ_CP027701.1,Bacteria,4889200,test
284,NZ_CP035477.1,Bacteria,5061273,test
285,NZ_CP045129.1,Bacteria,3005492,test
286,NZ_CP032652.1,Bacteria,1964209,test
287,NZ_CP042882.1,Bacteria,5314939,test
288,NZ_CP040314.1,Bacteria,5460921,test
289,NZ_CP053614.1,Bacteria,4029664,test
290,NZ_CP054440.1,Bacteria,2550339,test
291,NZ_CP053856.1,Bacteria,2806500,test
292,NZ_CP026069.1,Bacteria,2878504,test
293,NZ_CP039611.1,Bacteria,4350713,test
294,NZ_CP033707.1,Bacteria,4689430,test
295,NZ_CP027788.1,Bacteria,3044721,test
296,NZ_CP032101.1,Bacteria,2917098,test
297,NZ_CP031464.1,Bacteria,4867200,test
298,NZ_CP020396.1,Bacteria,2262065,test
299,NZ_CP049241.1,Bacteria,3646231,test
300,NZ_CP024101.1,Bacteria,4225378,test
301,NZ_CP026023.1,Bacteria,5438591,test
302,NZ_CP034336.1,Bacteria,5046183,test
303,NZ_CP042252.1,Bacteria,4201713,test
304,NZ_CP046629.1,Bacteria,1910720,test
305,NZ_CP026885.1,Bacteria,4107132,test
306,NZ_CP027169.1,Bacteria,6586916,test
307,NZ_CP047800.1,Bacteria,2819269,test
308,NZ_CP034408.1,Bacteria,5427547,test
309,NZ_CP035797.1,Bacteria,2126176,test
310,NZ_CP020534.1,Bacteria,3164924,test
311,NZ_CP033723.2,Bacteria,3065242,test
312,NZ_CP041702.1,Bacteria,1014572,test
313,NZ_CP044228.1,Bacteria,3022021,test
314,NZ_CP035294.1,Bacteria,2499507,test
315,NZ_CP030240.1,Bacteria,4582842,test
316,NZ_CP027216.1,Bacteria,1072951,test
317,NZ_CP022244.1,Bacteria,1863898,test
318,NZ_CP031808.1,Bacteria,5362796,test
319,NZ_CP038342.1,Bacteria,5496245,test
320,NZ_CP025136.1,Bacteria,1975341,test
321,NZ_CP026046.1,Bacteria,4000026,test
322,NZ_CP037882.1,Bacteria,4996832,test
323,NZ_CP021963.1,Bacteria,4945156,test
324,NZ_CP045759.1,Bacteria,4726556,test
325,NZ_CP031673.1,Bacteria,2846583,test
326,NZ_CP032872.1,Bacteria,4196696,test
327,NZ_CP034484.1,Bacteria,4211262,test
328,NZ_CP041247.1,Bacteria,5266426,test
329,NZ_CP021286.1,Bacteria,3508676,test
330,NZ_CP047688.1,Bacteria,5429004,test
331,NZ_CP043063.1,Bacteria,4773959,test
332,NZ_CP028126.1,Bacteria,5785882,test
333,NZ_CP010735.1,Bacteria,3814079,test
334,NZ_CP038194.1,Bacteria,3120072,test
335,NZ_CP027449.1,Bacteria,5077228,test
336,NZ_CP028629.1,Bacteria,5455355,test
337,NZ_CP029477.1,Bacteria,2018944,test
338,NZ_CP029111.1,Bacteria,4875835,test
339,NZ_CP028730.1,Bacteria,4896215,test
340,NZ_CP039974.1,Bacteria,5294382,test
341,NZ_CP025827.1,Bacteria,2764297,test
342,NZ_CP048116.1,Bacteria,1994569,test
343,NZ_CP029029.1,Bacteria,4634278,test
344,NZ_CP049942.1,Bacteria,3998116,test
345,NZ_CP031910.1,Bacteria,5398870,test
346,NZ_CP012670.1,Bacteria,11261481,test
347,NZ_CP042520.1,Bacteria,5243002,test
348,NZ_CP047682.1,Bacteria,5428813,test
349,NZ_CP037894.1,Bacteria,4820913,test
350,NZ_CP032759.1,Bacteria,642929,test
351,NZ_CP026774.1,Bacteria,4395762,test
352,NZ_CP043396.1,Bacteria,5801682,test
353,NZ_CP023061.1,Bacteria,5189917,test
354,NZ_CP026470.1,Bacteria,4107552,test
355,NZ_CP035101.1,Bacteria,2755072,test
356,NZ_CP031679.1,Bacteria,1858630,test
357,NZ_CP041711.1,Bacteria,1017283,test
358,NZ_CP031849.1,Bacteria,5180019,test
359,NZ_CP042274.1,Bacteria,2943916,test
360,NZ_CP045048.1,Bacteria,1806805,test
361,NZ_CP031551.1,Bacteria,2449542,test
362,NZ_CP028320.1,Bacteria,5019440,test
363,NZ_CP048359.1,Bacteria,4884114,test
364,NZ_CP028151.1,Bacteria,4668875,test
365,NZ_CP035715.1,Bacteria,2337589,test
366,NZ_CP019651.1,Bacteria,4288947,test
367,NZ_CP047180.1,Bacteria,4219997,test
368,NZ_CP044331.1,Bacteria,4075934,test
369,NZ_CP029736.1,Bacteria,4309166,test
370,NZ_CP042043.1,Bacteria,2806828,test
371,NZ_CP034958.1,Bacteria,4763166,test
372,NZ_CP027768.1,Bacteria,2695908,test
373,NZ_CP031331.1,Bacteria,2264367,test
374,NZ_CP041694.1,Bacteria,4219812,test
375,NZ_CP043763.1,Bacteria,1645980,test
376,NZ_CP025609.1,Bacteria,4735208,test
377,NZ_CP048401.1,Bacteria,2973626,test
378,NZ_CP045087.1,Bacteria,3712850,test
379,NZ_CP027749.1,Bacteria,7046099,test
380,NZ_CP046737.1,Bacteria,2883085,test
381,NZ_CP031271.1,Bacteria,2662916,test
382,NZ_CP051011.1,Bacteria,3898273,test
383,NZ_CP046740.1,Bacteria,3057992,test
384,NZ_CP019090.1,Bacteria,4703963,test
385,NZ_CP017489.1,Bacteria,2590626,test
386,NZ_CP027724.1,Bacteria,5962679,test
387,NZ_CP041433.1,Bacteria,5099527,test
388,NZ_CP035467.1,Bacteria,4998879,test
389,NZ_CP046908.1,Bacteria,5116759,test
390,NZ_CP034546.1,Bacteria,1350848,test
391,NZ_CP041200.1,Bacteria,825366,test
392,NZ_CP048838.1,Bacteria,4718906,test
393,NZ_CP031571.1,Bacteria,4843622,test
394,NZ_CP031424.1,Bacteria,3919798,test
395,NZ_CP029678.1,Bacteria,2921067,test
396,NZ_CP053541.1,Bacteria,3312924,test
397,NZ_CP026432.1,Bacteria,4110459,test
398,NZ_CP033828.1,Bacteria,4922946,test
399,NZ_CP022070.1,Bacteria,4884508,test
400,NZ_CP031787.1,Bacteria,4102412,test
401,NZ_CP032393.1,Bacteria,4858438,test
402,NZ_CP026901.1,Bacteria,4107705,test
403,NZ_CP034086.1,Bacteria,3642720,test
404,NZ_CP029088.1,Bacteria,7125975,test
405,NZ_AP022313.1,Bacteria,4316163,test
406,NZ_CP033065.1,Bacteria,3611742,test
407,NZ_CP028787.2,Bacteria,5256586,test
408,NZ_CP050012.1,Bacteria,5099855,test
409,NZ_CP046040.1,Bacteria,2189155,test
410,NZ_CP037939.1,Bacteria,1917647,test
411,NZ_CP030219.1,Bacteria,5431908,test
412,NZ_CP028909.1,Bacteria,1705686,test
413,NZ_CP014032.1,Bacteria,1716983,test
414,NZ_CP031941.1,Bacteria,6531820,test
415,NZ_CP019071.1,Bacteria,4877335,test
416,NZ_CP028483.1,Bacteria,5022609,test
417,NZ_CP039489.1,Bacteria,4726556,test
418,NZ_CP048693.1,Bacteria,3483003,test
419,NZ_CP034016.1,Bacteria,2217429,test
420,NZ_CP044495.1,Bacteria,2050049,test
421,NZ_CP034483.1,Bacteria,4965689,test
422,NZ_CP048438.1,Bacteria,2878261,test
423,NZ_CP022059.1,Bacteria,2861022,test
424,NZ_CP043091.1,Bacteria,4773951,test
425,NZ_CP021164.1,Bacteria,5059456,test
426,NZ_CP043080.1,Bacteria,3695202,test
427,NZ_CP026908.1,Bacteria,4112699,test
428,NZ_CP020959.1,Bacteria,2757748,test
429,NZ_CP053830.1,Bacteria,1513347,test
430,NZ_CP027778.1,Bacteria,4004635,test
431,NZ_CP034354.1,Bacteria,7047704,test
432,NZ_CP036442.1,Bacteria,5345730,test
433,NZ_CP052852.1,Bacteria,3699764,test
434,NZ_CP040753.1,Bacteria,3097372,test
435,NZ_CP054479.1,Bacteria,4010543,test
436,NZ_CP038504.1,Bacteria,2504185,test
437,NZ_CP028592.1,Bacteria,5558896,test
438,NZ_CP043165.1,Bacteria,4773923,test
439,NZ_CP053416.1,Bacteria,4487548,test
440,NZ_CP054472.1,Bacteria,6390212,test
441,NZ_CP050313.1,Bacteria,4029210,test
442,NZ_CP040059.1,Bacteria,1969211,test
443,NZ_CP009922.3,Bacteria,5961402,test
444,NZ_CP039266.1,Bacteria,2023061,test
445,NZ_CP047859.1,Bacteria,2860128,test
446,NZ_CP038850.1,Bacteria,2831239,test
447,NZ_CP043120.1,Bacteria,4773878,test
448,NZ_CP038386.1,Bacteria,5195683,test
449,NZ_CP019593.2,Bacteria,2790096,test
450,NZ_CP020448.2,Bacteria,5244290,test
451,NZ_CP030716.1,Bacteria,3597019,test
452,NZ_CP026114.1,Bacteria,756439,test
453,NZ_CP035927.1,Bacteria,1684122,test
454,NZ_CP045263.1,Bacteria,5598884,test
455,NZ_CP041620.1,Bacteria,4948013,test
456,NZ_CP030196.1,Bacteria,4869528,test
457,NZ_CP040390.1,Bacteria,5305706,test
458,NZ_CP042161.1,Bacteria,6486246,test
459,NZ_CP023691.1,Bacteria,8501012,test
460,NZ_CP047841.1,Bacteria,2738812,test
461,NZ_CP041970.1,Bacteria,4024840,test
462,NZ_CP048330.1,Bacteria,4891237,test
463,NZ_CP027643.1,Bacteria,2106982,test
464,NZ_CP052094.1,Bacteria,3669428,test
465,NZ_CP044492.1,Bacteria,1976303,test
466,NZ_CP050135.1,Bacteria,2018460,test
467,NZ_CP035383.1,Bacteria,5463931,test
468,NZ_CP039070.1,Bacteria,3194859,test
469,NZ_CP034240.1,Bacteria,3236208,test
470,NZ_CP029751.1,Bacteria,2870155,test
471,NZ_CP041257.1,Bacteria,2766162,test
472,NZ_CP032412.1,Bacteria,7128120,test
473,NZ_CP034299.1,Bacteria,1942957,test
474,NZ_CP046271.1,Bacteria,4572253,test
475,NZ_CP046780.1,Bacteria,1835171,test
476,NZ_CP036535.1,Bacteria,2337910,test
477,NZ_CP051866.1,Bacteria,3873866,test
478,NZ_CP040023.1,Bacteria,5405359,test
479,NZ_CP045674.1,Bacteria,5345246,test
480,NZ_CP028623.1,Bacteria,5455348,test
481,NZ_CP026916.1,Bacteria,4106441,test
482,NZ_CP035188.1,Bacteria,4231149,test
483,NZ_CP029191.1,Bacteria,8048154,test
484,NZ_CP026337.1,Bacteria,3311860,test
485,NZ_CP044145.1,Bacteria,5557507,test
486,NZ_CP023853.1,Bacteria,5174317,test
487,NZ_CP026468.1,Bacteria,4107431,test
488,NZ_CP044109.1,Bacteria,6114383,test
489,NZ_CP027527.1,Bacteria,4155740,test
490,NZ_CP046839.1,Bacteria,3073750,test
491,NZ_CP022095.2,Bacteria,4832477,test
492,NZ_CP022243.1,Bacteria,3567562,test
493,NZ_CP035020.1,Bacteria,2991504,test
494,NZ_CP033738.1,Bacteria,2836861,test
495,NZ_CP026621.1,Bacteria,4105348,test
496,NZ_CP051460.1,Bacteria,4934537,test
497,NZ_CP035405.1,Bacteria,4298206,test
498,NZ_CP045035.1,Bacteria,2503004,test
499,NZ_CP029646.1,Bacteria,4782348,test
500,NZ_CP044119.1,Bacteria,2654177,test
501,NZ_CP020408.2,Bacteria,2969957,test
502,NZ_CP029664.1,Bacteria,2880689,test
503,NZ_CP038262.1,Bacteria,3708164,test
504,NZ_CP023662.1,Bacteria,5124906,test
505,NZ_CP020452.2,Bacteria,2783943,test
506,NZ_CP025354.1,Bacteria,4103234,test
507,NZ_CP025567.1,Bacteria,2979032,test
508,NZ_CP023677.1,Bacteria,2072170,test
509,NZ_CP046857.1,Bacteria,3212156,test
510,NZ_CP026799.1,Bacteria,4511010,test
511,NZ_CP046424.1,Bacteria,5511747,test
512,NZ_CP018867.1,Bacteria,2333865,test
513,NZ_CP030364.1,Bacteria,3507364,test
514,NZ_CP032640.1,Bacteria,1964205,test
515,NZ_CP029873.1,Bacteria,4782825,test
516,NZ_CP020442.2,Bacteria,3622127,test
517,NZ_CP022213.1,Bacteria,4668533,test
518,NZ_CP028215.1,Bacteria,4098278,test
519,NZ_CP050810.1,Bacteria,2415007,test
520,NZ_CP046317.1,Bacteria,1678432,test
521,NZ_CP039930.1,Bacteria,3963137,test
522,NZ_CP020498.1,Bacteria,5283646,test
523,NZ_CP023011.2,Bacteria,2845651,test
524,NZ_CP046308.1,Bacteria,4441988,test
525,NZ_CP022188.1,Bacteria,4886933,test
526,NZ_CP048002.1,Bacteria,4050296,test
527,NZ_CP022310.1,Bacteria,7766581,test
528,NZ_CP029861.1,Bacteria,4783691,test
529,NZ_CP046863.1,Bacteria,2527244,test
530,NZ_CP042286.1,Bacteria,2676222,test
531,NZ_CP017492.1,Bacteria,2591845,test
532,NZ_CP038102.1,Bacteria,4739953,test
533,NZ_CP041373.1,Bacteria,5483867,test
534,NZ_CP026344.1,Bacteria,4651849,test
535,NZ_CP041031.1,Bacteria,4816454,test
536,NZ_CP027705.1,Bacteria,6796817,test
537,NZ_CP028659.1,Bacteria,5455348,test
538,NZ_CP042818.1,Bacteria,3372116,test
539,NZ_CP052133.1,Bacteria,2745532,test
540,NZ_CP053640.1,Bacteria,2843306,test
541,NZ_CP035034.1,Bacteria,4743568,test
542,NZ_CP031334.1,Bacteria,2314390,test
543,NZ_CP032477.1,Bacteria,1611628,test
544,NZ_CP029021.1,Bacteria,278175,test
545,NZ_CP041976.1,Bacteria,4957978,test
546,NZ_CP025351.1,Bacteria,4106497,test
547,NZ_CP026491.1,Bacteria,5087117,test
548,NZ_CP053293.1,Bacteria,769300,test
549,NZ_CP035151.1,Bacteria,1852892,test
550,NZ_CP040875.1,Bacteria,2660995,test
551,NZ_CP025086.1,Bacteria,3298588,test
552,NZ_CP039471.1,Bacteria,4726554,test
553,NZ_CP021325.1,Bacteria,3002491,test
554,NZ_CP051860.2,Bacteria,4227167,test
555,NZ_CP033214.1,Bacteria,4066982,test
556,NZ_CP039777.1,Bacteria,817102,test
557,NZ_CP041773.1,Bacteria,6714255,test
558,NZ_CP038871.1,Bacteria,2346198,test
